time,total_trades,wins,losses,win_rate,total_pnl
2026-06-21 20:07:11,0,0,0,0,0
2026-06-21 20:07:14,0,0,0,0,0
2026-06-21 20:07:18,0,0,0,0,0
2026-06-21 20:07:21,0,0,0,0,0
2026-06-21 20:07:24,0,0,0,0,0
2026-06-21 20:07:28,0,0,0,0,0
2026-06-21 20:07:31,0,0,0,0,0
2026-06-21 20:07:34,0,0,0,0,0
2026-06-21 20:07:38,0,0,0,0,0
2026-06-21 20:07:41,0,0,0,0,0
2026-06-21 20:07:44,0,0,0,0,0
2026-06-21 20:07:48,0,0,0,0,0
2026-06-21 20:07:51,0,0,0,0,0
2026-06-21 20:07:54,0,0,0,0,0
2026-06-21 20:07:58,0,0,0,0,0
2026-06-21 20:08:01,0,0,0,0,0
2026-06-21 20:08:04,0,0,0,0,0
2026-06-21 20:08:08,0,0,0,0,0
2026-06-21 20:08:11,0,0,0,0,0
2026-06-21 20:08:14,0,0,0,0,0
2026-06-21 20:08:22,0,0,0,0,0
2026-06-21 20:08:26,0,0,0,0,0
2026-06-21 20:08:27,0,0,0,0,0
2026-06-21 20:08:31,0,0,0,0,0
2026-06-21 20:08:34,0,0,0,0,0
2026-06-21 20:08:37,0,0,0,0,0
2026-06-21 20:08:41,0,0,0,0,0
2026-06-21 20:08:44,0,0,0,0,0
2026-06-21 20:08:47,0,0,0,0,0
2026-06-21 20:08:51,0,0,0,0,0
2026-06-21 20:08:54,0,0,0,0,0
2026-06-21 20:08:57,0,0,0,0,0
2026-06-21 20:09:01,0,0,0,0,0
2026-06-21 20:09:04,0,0,0,0,0
2026-06-21 20:09:07,0,0,0,0,0
2026-06-21 20:09:11,0,0,0,0,0
2026-06-21 20:09:14,0,0,0,0,0
2026-06-21 20:09:17,0,0,0,0,0
2026-06-21 20:09:20,0,0,0,0,0
2026-06-21 20:09:24,0,0,0,0,0
2026-06-21 20:09:27,0,0,0,0,0
2026-06-21 20:09:31,0,0,0,0,0
2026-06-21 20:09:34,0,0,0,0,0
2026-06-21 20:09:37,0,0,0,0,0
2026-06-21 20:09:41,0,0,0,0,0
2026-06-21 20:09:44,0,0,0,0,0
2026-06-21 20:09:47,0,0,0,0,0
2026-06-21 20:09:51,0,0,0,0,0
2026-06-21 20:09:54,0,0,0,0,0
2026-06-21 20:09:57,0,0,0,0,0
2026-06-21 20:10:02,0,0,0,0,0
2026-06-21 20:10:04,0,0,0,0,0
2026-06-21 20:10:07,0,0,0,0,0
2026-06-21 20:10:10,0,0,0,0,0
2026-06-21 20:10:14,0,0,0,0,0
2026-06-21 20:10:17,0,0,0,0,0
2026-06-21 20:10:20,0,0,0,0,0
2026-06-21 20:10:24,0,0,0,0,0
2026-06-21 20:10:27,0,0,0,0,0
2026-06-21 20:10:30,0,0,0,0,0
2026-06-21 20:10:34,0,0,0,0,0
2026-06-21 20:10:37,0,0,0,0,0
2026-06-21 20:10:40,0,0,0,0,0
2026-06-21 20:10:44,0,0,0,0,0
2026-06-21 20:10:47,0,0,0,0,0
2026-06-21 20:10:50,0,0,0,0,0
2026-06-21 20:10:54,0,0,0,0,0
2026-06-21 20:10:57,0,0,0,0,0
2026-06-21 20:11:00,0,0,0,0,0
2026-06-21 20:11:04,0,0,0,0,0
2026-06-21 20:11:07,0,0,0,0,0
2026-06-21 20:11:10,0,0,0,0,0
2026-06-21 20:11:14,0,0,0,0,0
2026-06-21 20:11:17,0,0,0,0,0
2026-06-21 20:11:20,0,0,0,0,0
2026-06-21 20:11:24,0,0,0,0,0
2026-06-21 20:11:27,0,0,0,0,0
2026-06-21 20:11:30,0,0,0,0,0
2026-06-21 20:11:34,0,0,0,0,0
2026-06-21 20:11:37,0,0,0,0,0
2026-06-21 20:11:40,0,0,0,0,0
2026-06-21 20:11:44,0,0,0,0,0
2026-06-21 20:11:47,0,0,0,0,0
2026-06-21 20:11:50,0,0,0,0,0
2026-06-21 20:11:54,0,0,0,0,0
2026-06-21 20:11:57,0,0,0,0,0
2026-06-21 20:12:00,0,0,0,0,0
2026-06-21 20:12:04,0,0,0,0,0
2026-06-21 20:12:07,0,0,0,0,0
2026-06-21 20:12:10,0,0,0,0,0
2026-06-21 20:12:14,0,0,0,0,0
2026-06-21 20:12:17,0,0,0,0,0
2026-06-21 20:12:20,0,0,0,0,0
2026-06-21 20:12:24,0,0,0,0,0
2026-06-21 20:12:27,0,0,0,0,0
2026-06-21 20:12:30,0,0,0,0,0
2026-06-21 20:12:34,0,0,0,0,0
2026-06-21 20:12:37,0,0,0,0,0
2026-06-21 20:12:40,0,0,0,0,0
2026-06-21 20:12:44,0,0,0,0,0
2026-06-21 20:12:47,0,0,0,0,0
2026-06-21 20:12:50,0,0,0,0,0
2026-06-21 20:12:54,0,0,0,0,0
2026-06-21 20:12:57,0,0,0,0,0
2026-06-21 20:13:00,0,0,0,0,0
2026-06-21 20:13:04,0,0,0,0,0
2026-06-21 20:13:07,0,0,0,0,0
2026-06-21 20:13:10,0,0,0,0,0
2026-06-21 20:13:13,0,0,0,0,0
2026-06-21 20:13:17,0,0,0,0,0
2026-06-21 20:13:20,0,0,0,0,0
2026-06-21 20:13:23,0,0,0,0,0
2026-06-21 20:13:27,0,0,0,0,0
2026-06-21 20:13:30,0,0,0,0,0
2026-06-21 20:13:34,0,0,0,0,0
2026-06-21 20:13:37,0,0,0,0,0
2026-06-21 20:13:40,0,0,0,0,0
2026-06-21 20:13:44,0,0,0,0,0
2026-06-21 20:13:47,0,0,0,0,0
2026-06-21 20:13:50,0,0,0,0,0
2026-06-21 20:13:54,0,0,0,0,0
2026-06-21 20:13:57,0,0,0,0,0
2026-06-21 20:14:00,0,0,0,0,0
2026-06-21 20:14:03,0,0,0,0,0
2026-06-21 20:14:07,0,0,0,0,0
2026-06-21 20:14:10,0,0,0,0,0
2026-06-21 20:14:13,0,0,0,0,0
2026-06-21 20:14:17,0,0,0,0,0
2026-06-21 20:14:20,0,0,0,0,0
2026-06-21 20:14:23,0,0,0,0,0
2026-06-21 20:14:27,0,0,0,0,0
2026-06-21 20:14:30,0,0,0,0,0
2026-06-21 20:14:34,0,0,0,0,0
2026-06-21 20:14:37,0,0,0,0,0
2026-06-21 20:14:40,0,0,0,0,0
2026-06-21 20:14:44,0,0,0,0,0
2026-06-21 20:14:47,0,0,0,0,0
2026-06-21 20:14:50,0,0,0,0,0
2026-06-21 20:14:53,0,0,0,0,0
2026-06-21 20:14:57,0,0,0,0,0
2026-06-21 20:15:01,0,0,0,0,0
2026-06-21 20:15:04,0,0,0,0,0
2026-06-21 20:15:07,0,0,0,0,0
2026-06-21 20:15:10,0,0,0,0,0
